card_id,file,name,element,kind,rarity
unit_v8_solar_01,public/card-art/unit_v8_solar_01.webp,새벽의 성검기사,solar,unit,common
unit_v8_solar_02,public/card-art/unit_v8_solar_02.webp,침묵의 광휘사자,solar,unit,common
unit_v8_solar_03,public/card-art/unit_v8_solar_03.webp,망각의 홍염창병,solar,unit,rare
unit_v8_solar_04,public/card-art/unit_v8_solar_04.webp,서약의 성광사냥꾼,solar,unit,common
unit_v8_solar_05,public/card-art/unit_v8_solar_05.webp,유리빛 태양매,solar,unit,rare
unit_v8_solar_06,public/card-art/unit_v8_solar_06.webp,붉은달의 백금세라프,solar,unit,epic
unit_v8_solar_07,public/card-art/unit_v8_solar_07.webp,심장부의 화염용,solar,unit,common
unit_v8_solar_08,public/card-art/unit_v8_solar_08.webp,황혼의 태양골렘,solar,unit,rare
unit_v8_solar_09,public/card-art/unit_v8_solar_09.webp,고대의 여명수호자,solar,unit,legendary
unit_v8_solar_10,public/card-art/unit_v8_solar_10.webp,불멸의 불꽃무희,solar,unit,common
unit_v8_solar_11,public/card-art/unit_v8_solar_11.webp,붕괴의 광륜마도사,solar,unit,rare
unit_v8_solar_12,public/card-art/unit_v8_solar_12.webp,검은별의 성창대장,solar,unit,common
unit_v8_solar_13,public/card-art/unit_v8_solar_13.webp,백은의 홍련늑대,solar,unit,common
unit_v8_solar_14,public/card-art/unit_v8_solar_14.webp,경계의 성화사제,solar,unit,epic
unit_v8_solar_15,public/card-art/unit_v8_solar_15.webp,찬란한 태양거인,solar,unit,common
unit_v8_solar_16,public/card-art/unit_v8_solar_16.webp,유성의 빛의기수,solar,unit,rare
unit_v8_solar_17,public/card-art/unit_v8_solar_17.webp,심연의 재탄생기사,solar,unit,epic
unit_v8_solar_18,public/card-art/unit_v8_solar_18.webp,왕실의 일광포병,solar,unit,common
unit_v8_solar_19,public/card-art/unit_v8_solar_19.webp,푸른별의 화관수호수,solar,unit,rare
unit_v8_solar_20,public/card-art/unit_v8_solar_20.webp,천공의 성역집행관,solar,unit,common
unit_v8_lunar_01,public/card-art/unit_v8_lunar_01.webp,황혼의 은월검사,lunar,unit,common
unit_v8_lunar_02,public/card-art/unit_v8_lunar_02.webp,고대의 몽환사제,lunar,unit,rare
unit_v8_lunar_03,public/card-art/unit_v8_lunar_03.webp,불멸의 월광여우,lunar,unit,epic
unit_v8_lunar_04,public/card-art/unit_v8_lunar_04.webp,붕괴의 수면마도사,lunar,unit,common
unit_v8_lunar_05,public/card-art/unit_v8_lunar_05.webp,검은별의 초승궁수,lunar,unit,rare
unit_v8_lunar_06,public/card-art/unit_v8_lunar_06.webp,백은의 거울기사,lunar,unit,legendary
unit_v8_lunar_07,public/card-art/unit_v8_lunar_07.webp,경계의 백야나비,lunar,unit,common
unit_v8_lunar_08,public/card-art/unit_v8_lunar_08.webp,찬란한 월식사냥꾼,lunar,unit,rare
unit_v8_lunar_09,public/card-art/unit_v8_lunar_09.webp,유성의 별잠수호자,lunar,unit,common
unit_v8_lunar_10,public/card-art/unit_v8_lunar_10.webp,심연의 달빛치유사,lunar,unit,common
unit_v8_lunar_11,public/card-art/unit_v8_lunar_11.webp,왕실의 은하술사,lunar,unit,epic
unit_v8_lunar_12,public/card-art/unit_v8_lunar_12.webp,푸른별의 몽중무희,lunar,unit,common
unit_v8_lunar_13,public/card-art/unit_v8_lunar_13.webp,천공의 서리늑대,lunar,unit,rare
unit_v8_lunar_14,public/card-art/unit_v8_lunar_14.webp,새벽의 월궁수호자,lunar,unit,epic
unit_v8_lunar_15,public/card-art/unit_v8_lunar_15.webp,침묵의 야광용,lunar,unit,common
unit_v8_lunar_16,public/card-art/unit_v8_lunar_16.webp,망각의 달의재판관,lunar,unit,rare
unit_v8_lunar_17,public/card-art/unit_v8_lunar_17.webp,서약의 미라지기수,lunar,unit,common
unit_v8_lunar_18,public/card-art/unit_v8_lunar_18.webp,유리빛 월해정령,lunar,unit,common
unit_v8_lunar_19,public/card-art/unit_v8_lunar_19.webp,붉은달의 은월거인,lunar,unit,epic
unit_v8_lunar_20,public/card-art/unit_v8_lunar_20.webp,심장부의 꿈의기록자,lunar,unit,common
unit_v8_storm_01,public/card-art/unit_v8_storm_01.webp,찬란한 뇌광기병,storm,unit,common
unit_v8_storm_02,public/card-art/unit_v8_storm_02.webp,유성의 천둥사냥꾼,storm,unit,rare
unit_v8_storm_03,public/card-art/unit_v8_storm_03.webp,심연의 폭풍매,storm,unit,legendary
unit_v8_storm_04,public/card-art/unit_v8_storm_04.webp,왕실의 전격검사,storm,unit,common
unit_v8_storm_05,public/card-art/unit_v8_storm_05.webp,푸른별의 번개용,storm,unit,rare
unit_v8_storm_06,public/card-art/unit_v8_storm_06.webp,천공의 뇌운술사,storm,unit,common
unit_v8_storm_07,public/card-art/unit_v8_storm_07.webp,새벽의 폭풍거인,storm,unit,common
unit_v8_storm_08,public/card-art/unit_v8_storm_08.webp,침묵의 청뢰기사,storm,unit,epic
unit_v8_storm_09,public/card-art/unit_v8_storm_09.webp,망각의 전류포병,storm,unit,common
unit_v8_storm_10,public/card-art/unit_v8_storm_10.webp,서약의 질풍무희,storm,unit,rare
unit_v8_storm_11,public/card-art/unit_v8_storm_11.webp,유리빛 벼락늑대,storm,unit,epic
unit_v8_storm_12,public/card-art/unit_v8_storm_12.webp,붉은달의 천공집행관,storm,unit,common
unit_v8_storm_13,public/card-art/unit_v8_storm_13.webp,심장부의 기류정찰병,storm,unit,rare
