id,name,series,kind,rarity,element,cost,attack,defense,text
unit_v8_solar_01,새벽의 성검기사,여명 성기사단,unit,common,solar,2,2,4,소환 시 상대 코어에 1 피해. 수호
unit_v8_solar_02,침묵의 광휘사자,수정 자동기,unit,common,solar,3,3,5,소환 시 카드 1장을 뽑습니다. 속공
unit_v8_solar_03,망각의 홍염창병,일식 공명단,unit,rare,solar,3,5,4,소환 시 이번 턴 에너지 1 회복. 흡수
unit_v8_solar_04,서약의 성광사냥꾼,여명 성기사단,unit,common,solar,3,2,4,소환 시 상대 코어에 1 피해. 관통
unit_v8_solar_05,유리빛 태양매,수정 자동기,unit,rare,solar,3,4,6,소환 시 카드 1장을 뽑습니다.
unit_v8_solar_06,붉은달의 백금세라프,일식 공명단,unit,epic,solar,6,7,6,균열 소환: 조건을 만족하면 비용 4. 소환 시 이번 턴 에너지 1 회복.
unit_v8_solar_07,심장부의 화염용,여명 성기사단,unit,common,solar,2,2,4,소환 시 상대 코어에 1 피해. 수호
unit_v8_solar_08,황혼의 태양골렘,수정 자동기,unit,rare,solar,4,4,6,소환 시 카드 1장을 뽑습니다. 속공
unit_v8_solar_09,고대의 여명수호자,일식 공명단,unit,legendary,solar,7,9,8,균열 소환: 조건을 만족하면 비용 5. 소환 시 이번 턴 에너지 1 회복. 흡수
unit_v8_solar_10,불멸의 불꽃무희,여명 성기사단,unit,common,solar,3,2,4,소환 시 상대 코어에 1 피해. 관통
unit_v8_solar_11,붕괴의 광륜마도사,수정 자동기,unit,rare,solar,3,4,6,소환 시 카드 1장을 뽑습니다.
unit_v8_solar_12,검은별의 성창대장,일식 공명단,unit,common,solar,3,4,3,소환 시 이번 턴 에너지 1 회복.
unit_v8_solar_13,백은의 홍련늑대,여명 성기사단,unit,common,solar,2,2,4,균열 소환: 조건을 만족하면 비용 1. 소환 시 상대 코어에 1 피해. 수호
unit_v8_solar_14,경계의 성화사제,수정 자동기,unit,epic,solar,6,6,8,소환 시 카드 1장을 뽑습니다. 속공
unit_v8_solar_15,찬란한 태양거인,일식 공명단,unit,common,solar,2,4,3,소환 시 이번 턴 에너지 1 회복. 흡수
unit_v8_solar_16,유성의 빛의기수,여명 성기사단,unit,rare,solar,4,3,5,소환 시 상대 코어에 2 피해. 관통
unit_v8_solar_17,심연의 재탄생기사,수정 자동기,unit,epic,solar,5,6,8,소환 시 카드 1장을 뽑습니다.
unit_v8_solar_18,왕실의 일광포병,일식 공명단,unit,common,solar,3,4,3,소환 시 이번 턴 에너지 1 회복.
unit_v8_solar_19,푸른별의 화관수호수,여명 성기사단,unit,rare,solar,3,3,5,소환 시 상대 코어에 2 피해. 수호
unit_v8_solar_20,천공의 성역집행관,수정 자동기,unit,common,solar,3,3,5,균열 소환: 조건을 만족하면 비용 1. 소환 시 카드 1장을 뽑습니다. 속공
unit_v8_lunar_01,황혼의 은월검사,월영 몽환단,unit,common,lunar,2,2,4,소환 시 코어를 2 회복. 속공
