id,name,kind,rarity,element,cost,series,series_id,summon_mode
unit_ember_squire,잿불의 종자,unit,common,solar,1,,,normal
unit_rift_hound,균열 사냥개,unit,common,void,2,,,normal
unit_iron_bastion,철벽 수호병,unit,common,neutral,2,,,normal
unit_celestial_archer,성광 궁수,unit,common,solar,2,,,normal
unit_verdant_sage,푸른잎 현자,unit,common,verdant,2,,,normal
unit_tide_medic,월광 치유사,unit,common,lunar,2,,,normal
unit_storm_lancer,폭풍 창기병,unit,rare,storm,3,,,normal
unit_moon_priest,은월 사제,unit,rare,lunar,3,,,normal
unit_ashen_duelist,재의 결투가,unit,rare,solar,3,,,normal
unit_crystal_warden,수정 파수꾼,unit,rare,neutral,4,,,normal
unit_void_reaper,공허 수확자,unit,rare,void,4,,,normal
unit_nova_golem,신성 거신,unit,rare,solar,5,,,normal
unit_timeweaver,시간 직조사,unit,epic,lunar,5,,,normal
unit_oracle_glass,유리의 예언자,unit,epic,neutral,4,,,normal
unit_eclipse_dragon,식의 용,unit,epic,void,6,,,normal
unit_phoenix_knight,불사조 기사,unit,epic,solar,5,,,normal
unit_tempest_queen,폭풍의 여왕,unit,epic,storm,6,,,normal
unit_crownless_titan,왕관 없는 거인,unit,legendary,neutral,8,,,normal
unit_star_devourer,성식의 포식자,unit,legendary,void,9,,,normal
unit_dawn_seraph,여명의 세라프,unit,legendary,solar,7,,,normal
spell_spark_bolt,섬광탄,spell,common,storm,1,,,normal
spell_battle_hymn,전투 찬가,spell,common,solar,2,,,normal
spell_mending_light,회복의 빛,spell,common,lunar,2,,,normal
spell_astral_insight,성운의 통찰,spell,rare,neutral,2,,,normal
spell_void_lance,공허의 창,spell,rare,void,3,,,normal
spell_overgrowth,급속 성장,spell,rare,verdant,3,,,normal
spell_chain_lightning,연쇄 번개,spell,epic,storm,4,,,normal
spell_cleanse,월식 정화,spell,epic,lunar,4,,,normal
spell_supernova,초신성 폭발,spell,legendary,solar,7,,,normal
spell_rebirth_seed,재생의 씨앗,spell,epic,verdant,4,,,normal
trap_mirror_veil,거울 장막,trap,common,lunar,2,,,normal
trap_thorn_snare,가시 덫,trap,common,verdant,2,,,normal
trap_counter_sigil,역전의 문장,trap,rare,neutral,3,,,normal
trap_ambush,그림자 매복,trap,rare,void,2,,,normal
trap_last_stand,최후의 방벽,trap,epic,solar,3,,,normal
trap_storm_prison,폭풍 감옥,trap,epic,storm,3,,,normal
trap_null_horizon,무의 지평선,trap,legendary,void,4,,,normal
trap_crystal_reversal,수정 반전,trap,rare,neutral,2,,,normal
trap_blooming_guard,개화의 수호,trap,common,verdant,2,,,normal
trap_solar_rebuke,태양의 질책,trap,epic,solar,3,,,normal
unit_rift_wanderer,균열의 유랑자,unit,rare,void,4,,,rift
unit_lastlight_vanguard,최후광 선봉대,unit,rare,solar,5,,,rift
unit_tempest_interceptor,뇌광 요격수,unit,epic,storm,5,,,rift
unit_gravebloom_medium,묘화의 영매,unit,epic,verdant,5,,,rift
fusion_eclipse_chimera,이클립시온 크로스 - 네메시스 키메라,fusion,legendary,void,3,일식공명 이클립시온,eclipsion,fusion
