trait,id,name
처형,unit_void_reaper,공허 수확자
처형,v32y_abyss_unit_01,어비스 리퍼 소울 헌터
처형,unit_v8_void_02,어비스 리퍼 다크 리퍼
처형,unit_v8_void_16,녹턴 미라주 크레센트 댄서
처형,unit_v8_void_05,어비스 리퍼 헬 리퍼
처형,evolution_rift_alpha,이클립시온 어센드 - 리프트 알파
처형,fusion_eclipse_chimera,이클립시온 크로스 - 네메시스 키메라
처형,fusion_v8_17,어비스 리퍼 크로스 - 보이드 리바이어던
처형,evolution_v8_11,이클립시온 어센드 - 이클립스 타이런트
처형,evolution_v8_20,녹턴 미라주 어센드 - 실버 오라클
처형,v26_arcana_protocol_fusion_02,아르카나 프로토콜 크로스 - 금단의 아카나
처형,unit_v8_void_20,어비스 리퍼 셰이드 하운드
처형,fusion_v8_07,어비스 리퍼 크로스 - 어비스 타이런트
처형,fusion_v8_15,어비스 리퍼 크로스 - 그레이브 킹
처형,v26_phantom_carnival_unit_22,팬텀 카니발 제로 스테이지 마스터
처형,v26_phantom_carnival_fusion_01,팬텀 카니발 크로스 - 미러 마리오네트
처형,unit_v8_void_10,녹턴 미라주 미러 댄서
처형,evolution_v8_07,어비스 리퍼 어센드 - 네더 드래곤
처형,evolution_v8_15,어비스 리퍼 어센드 - 블랙 리퍼 제로
처형,unit_v8_void_13,녹턴 미라주 실버 댄서
처형,evolution_v8_12,녹턴 미라주 어센드 - 루나 팬텀
처형,fusion_v8_20,녹턴 미라주 크로스 - 녹턴 마제스티
처형,v26_phantom_carnival_fusion_02,팬텀 카니발 크로스 - 나이트메어 링마스터
처형,fusion_v8_11,이클립시온 크로스 - 아스트라 드래곤
처형,v26_arcana_protocol_evolution_01,아르카나 프로토콜 어센드 - 마기스터 제로
처형,v26_phantom_carnival_unit_16,팬텀 카니발 스테이지 리퍼
처형,unit_v8_storm_08,어비스 리퍼 베놈 리퍼
처형,unit_v8_storm_11,어비스 리퍼 셰이드 리퍼
처형,v26_chronorium_fusion_02,크로노리움 크로스 - 이터널 레귤레이터
처형,v26_phantom_carnival_evolution_02,팬텀 카니발 어센드 - 엔드리스 쇼
처형,unit_v8_solar_09,이클립시온 아스트라 레조너
처형,unit_v8_void_04,녹턴 미라주 베일 댄서
처형,unit_v8_void_12,이클립시온 오메가 레조너
처형,unit_v8_void_18,이클립시온 크로노 키메라
처형,v26_phantom_carnival_unit_19,팬텀 카니발 라스트 앙코르
처형,fusion_v8_12,녹턴 미라주 크로스 - 미러 퀸
처형,fusion_v8_03,이클립시온 크로스 - 크로노 레비아탄
처형,unit_star_devourer,성식의 포식자
처형,fusion_v8_04,녹턴 미라주 크로스 - 풀문 디바
처형,v26_phantom_carnival_evolution_01,팬텀 카니발 어센드 - 그랜드 디렉터
처형,fusion_v8_19,이클립시온 크로스 - 리프트 제로
