series_id,series_name,trait,card_id,card_name,cost,rarity
"luminaknights","루미나이츠","처형","unit_v8_solar_16","크림슨 랜서","4","rare"
"luminaknights","루미나이츠","처형","unit_v8_neutral_04","레이 세이버","4","rare"
"luminaknights","루미나이츠","처형","unit_v8_neutral_10","아크 세이버","6","epic"
"luminaknights","루미나이츠","처형","unit_v8_neutral_13","노바 세이버","7","legendary"
"luminaknights","루미나이츠","전체공격","unit_v8_solar_19","아크 랜서","3","rare"
"luminaknights","루미나이츠","전체공격","unit_v8_neutral_01","솔 세이버","3","rare"
"luminaknights","루미나이츠","전체공격","unit_v8_neutral_07","크림슨 세이버","5","epic"
"luminaknights","루미나이츠","전체공격","unit_v8_neutral_16","세라프 세이버","3","common"
"kaisergear","카이저기어","처형","unit_v8_solar_17","아이언 드라이버","5","epic"
"kaisergear","카이저기어","처형","unit_v8_neutral_12","블리츠 프레임","4","rare"
"kaisergear","카이저기어","처형","unit_v8_neutral_18","타이탄 프레임","6","epic"
"kaisergear","카이저기어","처형","v32y_kaiser_unit_01","볼트 램","4","rare"
"kaisergear","카이저기어","전체공격","unit_v8_solar_05","시그마 프레임","3","rare"
"kaisergear","카이저기어","전체공격","unit_v8_solar_11","임페리얼 프레임","3","rare"
"kaisergear","카이저기어","전체공격","unit_v8_solar_14","알파 드라이버","6","epic"
"kaisergear","카이저기어","전체공격","unit_v8_neutral_06","아이언 프레임","3","common"
"eclipsion","이클립시온","처형","unit_v8_solar_06","크로노 레조너","6","epic"
"eclipsion","이클립시온","처형","unit_v8_solar_09","아스트라 레조너","7","legendary"
"eclipsion","이클립시온","처형","unit_v8_void_12","오메가 레조너","4","rare"
"eclipsion","이클립시온","처형","unit_v8_void_18","크로노 키메라","4","rare"
"eclipsion","이클립시온","전체공격","unit_v8_solar_03","블랙 레조너","3","rare"
"eclipsion","이클립시온","전체공격","unit_v8_solar_12","베일 레조너","3","common"
"eclipsion","이클립시온","전체공격","unit_v8_void_15","블랙 키메라","3","rare"
"eclipsion","이클립시온","전체공격","v32y_eclipse_unit_01","그레이브 세이버","3","rare"
"nocturne","녹턴 미라주","처형","unit_v8_lunar_03","베일 팬텀","5","epic"
"nocturne","녹턴 미라주","처형","unit_v8_lunar_11","크레센트 팬텀","5","epic"
"nocturne","녹턴 미라주","처형","unit_v8_void_10","미러 댄서","6","epic"
"nocturne","녹턴 미라주","처형","unit_v8_void_13","실버 댄서","5","epic"
"nocturne","녹턴 미라주","전체공격","unit_v8_lunar_05","드림 팬텀","3","rare"
"nocturne","녹턴 미라주","전체공격","unit_v8_lunar_19","페이즈 팬텀","5","epic"
"nocturne","녹턴 미라주","전체공격","unit_v8_void_07","드림 댄서","3","rare"
"arborian","아르보리아","처형","unit_v8_lunar_02","브룸 가디언","4","rare"
"arborian","아르보리아","처형","unit_v8_lunar_14","플로라 가디언","6","epic"
"arborian","아르보리아","처형","unit_v8_verdant_13","플로라 드루이드","5","epic"
"arborian","아르보리아","전체공격","unit_v8_lunar_06","루트 가디언","8","legendary"
